Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Rio Grande do Norte,Brazil,14/11/2022 04:21,-5.4026,-36.9541,557893,8484,,,"Rio Grande do Norte, Brazil",15908.65086,1.520721715
Rio Grande do Sul,Brazil,14/11/2022 04:21,-30.0346,-51.2177,2750475,41220,,,"Rio Grande do Sul, Brazil",24175.24146,1.498650233
Rio de Janeiro,Brazil,14/11/2022 04:21,-22.9068,-43.1729,2557979,75908,,,"Rio de Janeiro, Brazil",14816.02922,2.967498951
Rondonia,Brazil,14/11/2022 04:21,-11.5057,-63.5806,458001,7362,,,"Rondonia, Brazil",25770.56929,1.607420071
Roraima,Brazil,14/11/2022 04:21,-2.7376,-62.0751,175957,2175,,,"Roraima, Brazil",29047.26452,1.236097456
Santa Catarina,Brazil,14/11/2022 04:21,-27.2423,-50.2189,1888915,22419,,,"Santa Catarina, Brazil",26363.8645,1.186871829
Sao Paulo,Brazil,14/11/2022 04:21,-23.5505,-46.6333,6160930,175825,,,"Sao Paulo, Brazil",13416.93727,2.853871088
Sergipe,Brazil,14/11/2022 04:21,-10.5741,-37.3857,342945,6443,,,"Sergipe, Brazil",14919.11066,1.87872691
Tocantins,Brazil,14/11/2022 04:21,-10.1753,-48.2982,344892,4207,,,"Tocantins, Brazil",21927.61494,1.219802141
,Brunei,14/11/2022 04:21,4.5353,114.7277,244599,225,,,Brunei,55910.51538,0.091987293
,Bulgaria,14/11/2022 04:21,42.7339,25.4858,1283572,37954,,,Bulgaria,18472.79499,2.956904638
,Burkina Faso,14/11/2022 04:21,12.2383,-1.5616,21631,387,,,Burkina Faso,103.4813774,1.789098978
,Burma,14/11/2022 04:21,21.9162,95.956,632679,19486,,,Burma,1162.80352,3.079918885
,Burundi,14/11/2022 04:21,-3.3731,29.9189,50574,38,,,Burundi,425.3210954,0.075137422
,Cabo Verde,14/11/2022 04:21,16.5388,-23.0418,62693,410,,,Cabo Verde,11275.96279,0.653980508
,Cambodia,14/11/2022 04:21,11.55,104.9167,137996,3056,,,Cambodia,825.385725,2.214556944
